human	mouse	corrs
RASA3	Rasa3	0.821996302583752
PSMD4	Psmd4	1
SMPDL3A	Smpdl3a	1
NLRP6	Nlrp6	1
COL11A1	Col11a1	1
IL20RB	Il20rb	1
CPNE6	Cpne4	1
TLE3	Tle4	1
ZNF106	Zfp106	1
RAP2A	Rap2a	0.629290976201243
TDRD6	Tdrd6	1
IPMK	Ipmk	1
RBM12	Gm28036	1
FABP5	Fabp5	1
MED21	Med21	1
MAF1	Maf1	1
FAM98B	Fam98b	1
ASCL5	Ascl5	1
NCR2	B430306N03Rik	1
CCDC85A	Ccdc85a	1
ZKSCAN2	Zkscan2	0.287492568350133
TM2D1	Tm2d1	1
EFCAB2	Efcab2	1
EPS8L3	Eps8l3	1
KCNS1	Kcns1	1
CD300LF	Cd300ld	1
NDUFS2	Ndufs2	1
GPC2	Gpc2	1
ASB1	Asb1	1
TUBGCP6	Tubgcp6	1
MYCBP	Mycbp	1
WDR34	Wdr34	1
RASSF7	Rassf7	1
MEIS3	Meis3	1
ECT2	Ect2	1
UCHL1	Uchl1	1
CLEC10A	Clec10a	1
POM121C	Pom121	0.721995968388893
TMEM56	Tmem56	0.837490574943366
SPEM1	Spem1	1
OR11L1	Olfr323	1
LRTOMT	Lrrc51	1
TSC22D1	Tsc22d1	1
KIF26B	Kif26b	1
DLX1	Dlx1	1
STK39	Oxsr1	1
MICALL2	Micall2	1
ZNF326	Zfp326	1
FAM131B	Fam131b	1
SAP30BP	Sap30bp	1
BTBD2	Btbd2	0.206653387062989
GNL2	Gnl2	1
H6PD	H6pd	1
ZNF705D	Gm14393	0.941237827609334
ENTPD5	Entpd5	1
EIF3J	Eif3j1	1
WFDC12	Wfdc12	1
CKAP2L	Ckap2l	1
EIF4E	Eif4e1b	1
MOGAT1	Mogat1	1
METAP1D	Metap1d	1
LIAS	Lias	1
ITLN1	Itln1	0.910519852179567
COL7A1	Col7a1	0.761725830852164
SPG11	Spg11	1
SGTB	Sgtb	1
NCAPH	Ncaph	1
NOA1	Noa1	1
ARHGEF7	Arhgef7	0.304265468995958
ATG2B	Atg2b	1
TRIM10	Trim10	1
CD300E	Cd300e	1
ABHD12	Abhd12	0.705413544155607
GABRG2	Gabrg2	1
BPNT1	Bpnt1	0.392149575949945
PROKR2	Prokr2	0.324975171121345
TARBP2	Tarbp2	1
GXYLT1	Gxylt1	1
WFDC5	Wfdc5	1
POLD3	Pold3	1
GORAB	Gorab	1
POU5F1	Pou5f1	0.931459101356594
SMIM6	Smim6	1
LZTFL1	Lztfl1	1
PRODH	Prodh	1
NSUN5	Nsun5	1
HOXA11	Hoxa11	1
GSC	Gsc	1
FBXL19	Fbxl19	0.799324844613643
BPIFC	Bpifc	1
PLCH1	Plch1	1
RSPH9	Rsph9	1
DGKB	Dgkb	1
SIAH2	Siah2	0.546112706092589
HCRTR2	Hcrtr1	1
GPAA1	Gpaa1	1
BPIFA2	Bpifa2	1
RPS5	Rps5	1
ABHD14A	Abhd14a	1
PARP9	Parp9	1
SUCO	Suco	1
DCAF12L2	Dcaf12l1	1
PGLYRP4	Pglyrp4	0.223423625325854
NKAIN3	Nkain3	1
ST6GAL1	St6gal1	1
CDHR3	Gm281	1
TRIM58	Trim58	1
LYPD8	Lypd8	1
AGER	Ager	1
OR2W3	Olfr322	1
NPC1	Npc1	0.382987692147935
AKT3	Akt3	1
ANO2	Ano1	1
CIAO1	Ciao1	1
RFX3	Rfx3	1
UNKL	Unkl	1
NKX2-8	Nkx2-9	1
CCNH	Ccnh	1
POLG	Polg	1
SEC16B	Sec16b	1
ERI2	Eri2	1
ERC2	Erc2	1
OSBPL11	Osbpl11	0.570792924787188
SLC4A1	Slc4a1	0.771735962659962
EIF4E2	Eif4e2	1
SURF6	Surf6	1
ABAT	Abat	1
LIG3	Lig3	1
PLEKHA1	Plekha1	1
IL1A	Il1a	1
EFCAB12	Efcab12	1
ILDR1	Ildr1	1
TMBIM6	Tmbim6	1
SEMA3C	Sema3c	1
GALNT6	Galnt6	0.651575426668986
IQCH	Iqch	1
SMC2	Smc2	1
SCUBE2	Scube2	1
ZNF696	Zfy2	0.601999578891227
RMDN3	Rmdn3	1
GTF2H5	Gtf2h5	1
GPR157	Gpr157	1
ERGIC1	Ergic1	1
BPIFA3	Bpifa3	1
RAD51C	Rad51c	1
MGAT4C	Mgat4c	1
QRICH1	Qrich1	1
ZKSCAN8	Zkscan8	1
RAB37	Rab37	0.849104210614721
TMEM199	Tmem199	1
SIMC1	Simc1	1
BPIFA1	Bpifa1	1
STMN2	Stmn2	1
ASB9	Asb9	1
URAHP	Urah	1
LY9	Ly9	1
KLF8	Klf8	1
CSF3	Csf3	1
UBXN2A	Ubxn2a	1
LCE1F	Lce1g	0.65113908062334
LAMTOR1	Lamtor1	1
CHRNB2	Chrnb2	1
PLOD1	Plod3	1
PRDM12	Prdm12	1
RAB25	Rab25	0.958302670459345
FGF10	Fgf10	1
IQUB	Iqub	1
KIAA0100	2610507B11Rik	1
BSND	Bsnd	1
MMS22L	Mms22l	1
ITPRIPL1	Itpripl1	1
IL1B	Il1b	1
ANXA3	Anxa3	1
ACSM3	Acsm3	1
RCC2	Rcc2	1
SLU7	Slu7	1
DDX42	Ddx42	1
SIRPB2	F830045P16Rik	1
HAP1	Hap1	1
SLC2A7	Slc2a7	1
MYOG	Myog	1
MTUS1	Mtus1	1
SLC46A1	Slc46a1	1
IDE	Nrd1	1
OR5V1	Olfr110	1
FTSJ3	Ftsj3	1
UQCR11	Uqcr11	1
CD46	Cd46	1
TWF1	Twf1	0.798266864672052
KIF5B	Kif5b	0.735250680118813
PGD	Pgd	1
EPRS	Eprs	1
ENPP5	Enpp5	1
COL9A1	Col9a3	1
ZNF786	Zfp786	1
UHRF2	Uhrf1	1
CPNE1	Cpne1	0.705219523732718
RNF114	Rnf114	1
SDHA	Sdha	1
FAM131A	Fam131a	1
CHST14	Chst14	1
SFRP2	Sfrp2	1
OTUB2	Otub2	1
MSH5	Msh5	0.680093179101905
NUP210	Nup210	0.897367841287879
TAC1	Tac1	1
ORAI3	Orai3	1
GLOD5	Glod5	1
PHRF1	Phrf1	1
RAD51	Rad51	0.858462994521667
DNASE1L3	Dnase1l3	1
SLC25A21	Slc25a21	1
IL10RA	Il10ra	1
SPATA2	Spata2	1
CRAT	Crat	1
NKX2-1	Nkx2-1	1
PRKDC	Prkdc	1
LRRC26	Lrrc26	1
P2RY4	P2ry4	1
SCARF1	Scarf1	0.951031488039555
KIAA1191	4833439L19Rik	1
ANKRD9	Ankrd9	1
CD34	Cd34	1
CPXM2	Cpxm2	1
TBC1D31	Tbc1d31	1
IRF7	Irf7	1
GPR155	Gpr155	1
EIF2B1	Eif2b1	1
NPY	Npy	0.531656757569324
NDUFA1	Ndufa1	1
TAX1BP1	Tax1bp1	1
IGFL2	Igfl3	0.27436097830062
ERGIC2	Ergic2	1
RGS2	Rgs2	1
CDC20B	Cdc20b	1
OR2AK2	Olfr320	1
LHPP	Lhpp	1
SLC9A3R1	Slc9a3r1	1
BDP1	Bdp1	1
DGCR6	Dgcr6	0.228072813867287
SLC48A1	Slc48a1	1
MED6	Med6	1
KLK3	Klk1b4	0.619992352099912
ZNF286B	Zfp286	0.629101720740073
MDH1B	Mdh1b	1
TLR7	Tlr7	1
TNFRSF18	Tnfrsf18	1
LRP2BP	Lrp2bp	1
TNF	Tnf	1
SIX5	Six5	1
METTL5	Mettl5	1
EEF1A2	Eef1a2	0.891750551683606
MRPS18A	Mrps18a	1
DGAT1	Dgat1	1
C10orf120	4933402N03Rik	1
TF	1300017J02Rik	1
CCSER1	Ccser1	1
HADH	Hadh	1
PPDPF	Ppdpf	1
TMPRSS11CP	Tmprss11c	1
MAP3K7	Map3k7	1
PLIN2	Plin2	1
GJC3	Gjc3	1
P2RX7	P2rx7	1
TREM1	Trem1	1
PAX4	Pax4	1
CLEC4F	Clec4f	1
DAPP1	Dapp1	1
PRDX6	Prdx6	1
BPIFB1	Bpifb1	1
TEPP	Tepp	1
RPS28	Rps28	1
HOOK1	Hook1	0.804226101092706
NCKAP1	Nckap1	0.962533258031794
AZGP1	Azgp1	1
CHGB	Chgb	1
DDX51	Ddx51	1
PSTK	Pstk	1
SIN3A	Sin3a	1
SH3RF2	Sh3rf2	1
MEF2A	Mef2a	1
GNAT2	Gnat2	0.519387494035353
SNAP23	Snap23	1
CRACR2A	Cracr2a	1
CCNA2	Ccna2	1
SALL4	Sall4	1
HPS4	Hps4	1
MITF	Mitf	1
TOR1B	Tor1a	1
NR1D1	Nr1d2	1
HTR5A	Htr5a	1
CD226	Cd226	1
AOC2	Aoc2	0.180941562486123
HMX3	Hmx3	1
IRAK4	Irak4	1
LIX1L	Lix1l	1
COQ2	Coq2	1
IHH	Ihh	1
SSB	Ssb	1
THRA	Thra	0.855636600109788
NMUR2	Nmur2	1
NDFIP2	Ndfip2	1
IFNA17	Ifna11	1
RIMS1	Rims1	1
OXCT1	Oxct1	0.664875708104618
NOV	Nov	1
LCN12	Lcn12	1
MICB	Mill1	0.471603546318839
CEP97	Cep97	1
ADAR	Adar	1
CUZD1	Cuzd1	1
ASB17	Asb17	1
FGFRL1	Fgfrl1	1
LRGUK	Lrguk	1
PRDX1	Prdx1	0.692802006577999
PTK6	Ptk6	1
ODF1	Odf1	1
TRMT6	Trmt6	1
RP1	Rp1	0.768243245429407
HTR1D	Htr1d	1
WDR19	Wdr19	1
FBXO42	Fbxo42	1
GNB4	Gnb4	0.416498320105832
HTRA1	Htra1	1
PRAMEF17	Pramel5	1
CCDC32	Ccdc32	1
OOEP	Ooep	1
HLA-DMA	H2-DMa	1
TIMM22	Timm22	1
BPIFB5P	Bpifb5	1
RHAG	Rhag	1
USP32	Usp32	0.297940897194756
NKX3-1	Nkx3-1	1
C2orf49	AI597479	1
TRABD2B	Trabd2b	0.531221994995024
RTN4RL2	Rtn4rl2	1
SLC25A20	Slc25a20	1
AOC3	Aoc3	0.628023087394869
EMC8	Emc8	1
NAA15	Naa15	0.868869958244221
OR5T2	Olfr1095	0.65113908062334
METTL25	Mettl25	1
OR4F15	Olfr1309	1
LEF1	Lef1	1
TEX14	Tex14	1
UNC93B1	Unc93b1	1
FGD4	Fgd4	0.812994400226946
FEV	Fev	1
OGT	Ogt	1
SIRPA	Sirpa	0.861142196085694
G3BP1	G3bp1	1
IL1RN	Il1rn	1
PRKCI	Prkci	0.783285704290224
FCAMR	Fcamr	1
PSPN	Pspn	1
TMC5	Tmc5	1
GXYLT2	Gxylt2	1
TBX21	Tbx21	1
DMBT1	5430419D17Rik	1
CPNE2	Cpne3	1
FOXJ1	Foxj1	1
SAMD4A	Samd4	0.831884831185565
ZSCAN4	Zscan4c	1
TRIM5	Trim34b	0.608466339868615
ZFP64	Zfp64	1
TKT	Tkt	1
KIAA2013	2510039O18Rik	1
CCDC136	Ccdc136	1
KIAA1211L	2010300C02Rik	1
PADI6	Padi6	1
HOXA3	Hoxa3	1
BPIFB9P	Bpifb9a	1
CA2	Car2	1
INPP4A	Inpp4a	0.497977055397425
BOLA2B	Bola2	0.826822236056719
NPPB	Nppb	1
GPR26	Gpr26	1
SLC6A12	Slc6a12	0.746121179862994
SLX1A	Slx1b	0.107626081867518
BRINP2	Brinp2	1
UBE2V1	Ube2v1	0.65113908062334
EXOSC9	Exosc9	1
GDF15	Gdf15	1
SLC6A9	Slc6a9	1
LDB2	Ldb2	0.783639515882158
NCK1	Nck1	1
RNF157	Rnf157	1
LIM2	Lim2	1
GPR68	Gpr68	1
NCBP2	Ncbp2	1
FARP1	Farp1	1
UCMA	Ucma	1
AKAP5	Akap5	0.508861210139614
ACVR1B	Acvr1b	0.529250952054826
SHC1	Shc1	1
KIF18A	Kif18a	1
SLC26A2	Slc26a2	1
SPACA5	Spaca5	0.396907423897171
EVA1C	Eva1c	1
RPS19	Rps19	1
TRIM22	Trim34a	1
SDHAF3	Sdhaf3	1
IFI27	Ifi27l2b	0.492306802112479
CHD3	Chd3	1
ABCA6	Abca6	0.702531904175035
KPRP	Kprp	1
MADD	Madd	1
STRA8	Stra8	1
IFI27L2	Ifi27l2a	1
RAPGEF2	Rapgef2	1
PDZPH1P	Pdzph1	1
NCAN	Ncan	1
MCM8	Mcm8	1
ANKRD37	Ankrd37	1
ODAM	Odam	1
PLD1	Pld1	1
OR1F1	Olfr51	1
LSM3	Lsm3	1
OR1K1	Olfr54	1
ACADSB	Acadsb	1
LHCGR	Tshr	0.456456766609905
CCDC59	Ccdc59	1
CYP2U1	Cyp2u1	1
ARL6IP6	Arl6ip6	1
CITED4	Cited4	1
TEX37	Tex37	1
OTUD7A	Otud7a	1
C9orf85	1110059E24Rik	1
FAM78A	Fam78a	1
HOXA4	Hoxa4	0.916732075270336
MTHFR	Mthfr	1
NFE2	Nfe2	1
ARAP1	Arap1	1
ZBTB7B	Zbtb7b	1
HOXA6	Hoxa6	1
HS3ST3A1	Hs3st3a1	0.333853469987311
MKRN2OS	Mkrn2os	1
HOXA7	Hoxa7	1
DOLPP1	Dolpp1	1
CRELD1	Creld1	1
METTL15	Mettl15	1
ARHGAP25	Arhgap25	1
C12orf42	1700113H08Rik	1
ZRANB1	Zranb1	1
E2F7	E2f7	1
PGAM2	Pgam2	0.938782123126086
CDK5RAP1	Cdk5rap1	1
XPNPEP2	Xpnpep2	1
FAM189B	Fam189b	1
ZNF443	Gm14443	1
CHL1	L1cam	1
RBP7	Rbp7	1
CLCN3	Clcn3	0.401755702957839
SENP5	Senp5	1
GAL3ST4	Gal3st4	1
CERS3	Cers3	1
PYCARD	Pycard	0.805470235682827
IL5	Il5	1
LMNB1	Lmnb1	0.802391270539436
PABPN1L	Pabpn1l	1
KCNE5	Kcne1l	1
PPFIA4	Ppfia4	1
H2AFY	H2afy	0.663713864189842
IFT74	Ift74	1
GMIP	Gmip	1
CYTH3	Cyth3	0.802722721251192
BIN2	Bin2	1
NPFF	Npff	1
SCFD2	Scfd2	1
NEIL1	Neil1	1
HIST1H2BD	Hist1h2bh	1
RNF26	Rnf26	1
SIGLEC10	Siglecg	0.535791717484408
MARCKS	Marcks	1
SMIM33	1700066B19Rik	1
PRCC	Prcc	1
FAM185A	Fam185a	1
ASTE1	Aste1	1
ECSCR	Ecscr	1
PGS1	Pgs1	1
SEMA6D	Sema6a	1
PCBP3	Pcbp3	0.574171634228161
GALNT14	Galnt14	0.65113908062334
USP24	Usp24	0.679989589396667
PAK1	Pak1	0.839793334742766
DUSP7	Dusp7	0.443529729827734
CDC73	Cdc73	1
UBE2G1	Ube2g1	1
HLA-DQB1	H2-Ab1	0.891523093969097
PIGO	Pigo	1
TCOF1	Tcof1	1
ATF7	Atf7	1
DCTN1	Dctn1	1
ZFPM1	Zfpm1	1
ZNF177	Zfp938	1
FEM1C	Fem1c	1
C7orf43	BC037034	1
MAP2K3	Map2k3	0.678338232194096
TEKT4	Tekt4	1
STX18	Stx18	1
KDM7A	Kdm7a	1
GOLGA1	Golga1	1
UFSP2	Ufsp2	1
INO80	Ino80	1
NDUFAF1	Ndufaf1	1
ZNF253	Zfp457	0.533302780304268
VWA5B1	Vwa5b1	1
R3HCC1	R3hcc1	1
RHBG	Rhcg	0.65113908062334
NMUR1	Nmur1	1
SPTY2D1	Spty2d1	1
ZNF507	Zfp507	1
C12orf76	Gm20499	1
TUBA8	Tuba8	1
PEBP1	Pebp1	1
CEBPZOS	Cebpzos	1
ZNF713	Zfp661	0.530575433169038
MAN1B1	Man1b1	1
ZNF69	Gm14440	1
GLT8D2	Glt8d2	1
RITA1	Rita1	1
KDR	Flt4	1
MECR	Mecr	1
BID	Bid	1
C3orf18	6430571L13Rik	1
SNED1	Sned1	1
PIK3CB	Pik3cb	0.62971448724758
NEK11	Nek11	1
PRPS1	Prps1l3	1
MAGEB5	Gm14781	1
POSTN	Postn	1
LIN7B	Lin7b	1
DNAH8	Dnah8	1
POLD1	Pold1	1
C6orf89	BC004004	1
AGAP1	Agap1	0.699261049016495
C15orf61	2300009A05Rik	1
AHDC1	Ahdc1	1
VDR	Vdr	1
KYNU	Kynu	1
NECAP2	Necap2	0.759846215031523
AFG3L2	Spg7	0.543936148087801
SLC25A25	Slc25a25	1
STX2	Stx2	1
TRIM46	Trim46	1
NGEF	Ngef	1
B3GALT2	B3galt2	1
CDA	Cda	1
NR0B2	Nr0b2	1
TMEM219	Tmem219	1
SOX9	Sox9	0.727488811549203
FAM43B	Fam43b	1
IQCF5	Iqcf4	1
TRIT1	Trit1	1
SOCS4	Socs4	1
PTMA	Ptma	1
KRTAP19-5	Krtap19-3	1
ITK	Txk	1
TSC22D2	Tsc22d2	1
C1RL	C1rl	1
ZNF107	Zfp871	0.692337408251052
HCFC2	Hcfc2	1
PGM3	Pgm3	1
PMM1	Pmm1	1
PSMA1	Psma1	1
ATXN7L3B	Atxn7l3b	1
TTC22	Ttc22	1
SRMS	Srms	1
MAGI3	Magi3	1
NEU2	Neu2	1
CA6	Car6	1
ATXN7L3	Atxn7l3	1
CHRD	Chrd	1
RNF7	Rnf7	1
RGS13	Rgs13	1
LRRC19	Lrrc19	1
NDP	Ndp	1
MCFD2	Mcfd2	1
TDG	Tdg	1
NTNG2	Ntng2	1
HELZ2	Helz2	1
EFNA3	Efna3	1
HGFAC	F12	0.993413814331584
GFRAL	Gfral	1
TPI1	Tpi1	1
CLDN14	Cldn14	1
PEX6	Pex6	1
PRPS2	Prps2	1
TBC1D14	Tbc1d14	1
IQCD	Iqcd	0.802223534126293
KAT7	Kat7	1
TNFSF13	Tnfsf13	1
KCNK13	Kcnk13	1
GPR50	Gpr50	1
PIPOX	Pipox	1
FBXO7	Fbxo7	1
GPATCH3	Gpatch3	1
KRTAP6-2	Krtap6-5	1
LGALS3	Lgals3	1
COPS4	Cops4	1
THPO	Thpo	1
PPFIA3	Ppfia3	1
RUNDC3A	Rundc3a	1
TMEM167A	Tmem167	1
TMCO5A	Tmco5	1
NME6	Nme6	1
SNTB1	Sntb1	0.383479732045299
ASB8	Asb8	1
CNTNAP4	Cntnap5c	1
AGO2	Ago2	0.822122210399138
CADM4	Cadm4	1
TFEB	Tfeb	1
TMED5	Tmed5	0.723692114780337
CEP170	Cep170	0.775884317162809
EXOC1	Exoc1	0.887454552839584
GMEB2	Gmeb2	1
ZFAND2B	Zfand2b	0.914530500156453
MYO9A	Myo9a	1
MAGED1	Maged1	1
LYPLAL1	Lyplal1	1
RALB	Ralb	0.706373758676406
SPSB2	Spsb2	1
LONRF2	Lonrf2	1
DHX9	Dhx9	1
GP1BA	Gp1ba	1
CHRAC1	Chrac1	1
ILF2	Ilf2	1
ELOVL1	Elovl1	1
LYSMD1	Lysmd1	1
TNFSF12	Tnfsf12	1
CCM2	Ccm2	1
ABCC3	Abcc3	0.919792666483863
TLK1	Tlk1	0.68971330652196
SIRT6	Sirt6	1
CYP3A43	Cyp3a59	1
STMN3	Stmn3	1
TRIM40	Trim40	1
ELK1	Elk1	1
VCAN	Vcan	1
OR8H3	Olfr1098	1
NUDCD2	Nudcd2	1
EPS8	Eps8	1
TNFAIP8L2	Tnfaip8l2	1
TMEM110-MUSTN1	Tmem110	1
KCNQ4	Kcnq4	0.643715986487911
KRTCAP2	Krtcap2	1
SNIP1	Snip1	1
PSG7	Psg17	0.652266370545553
TMEM211	Tmem211	1
ZNF491	Zfp963	1
RAPGEF1	Rapgef1	1
BRD7	Brd7	1
OR8H2	Olfr1100	1
FGFR2	Fgfr2	0.77552070941888
GPN2	Gpn2	1
GNAI3	Gnai3	0.85344504087456
UXT	Uxt	1
CCDC24	Ccdc24	1
SLC24A2	Slc24a2	1
TNMD	Tnmd	1
ZC4H2	Zc4h2	1
RASGRP1	Rasgrp1	1
IQCE	Iqce	1
CREBL2	Crebl2	1
DDA1	Dda1	1
TCHH	Tchh	1
RPTN	Rptn	1
SLC25A23	Slc25a41	0.159436696854577
VBP1	Vbp1	1
ENO1	Eno1	1
EED	Eed	1
B3GALT4	B3galt4	1
MAN2C1	Man2c1	1
MRPL48	Mrpl48	1
BCAT2	Bcat2	1
TMEM104	Tmem104	1
CDC20	Cdc20	1
SLC35C1	Slc35c1	1
MED18	Med18	1
FMNL3	Fmnl3	0.807686985873175
ZNF394	Zkscan14	0.737842874412711
NOG	Nog	1
MYH4	Myh4	1
RAB9B	Rab9b	0.680311302308311
POC1B	Poc1b	1
SFN	Sfn	1
TSACC	Tsacc	1
UHMK1	Uhmk1	1
NAT9	Nat9	1
MRPS35	Mrps35	1
MAB21L1	Mab21l1	0.774919924499686
FAM98C	Fam98c	0.348492223605483
TWIST2	Twist2	1
TMPRSS11D	Tmprss11d	1
SESN2	Sesn2	0.68885199189619
CAPN9	Capn9	1
PRKAB2	Prkab2	0.550504813549539
ERF	Erf	1
XKR6	Xkr6	1
UPRT	Uprt	1
NCMAP	Ncmap	1
GLIPR2	Glipr2	1
HIPK3	Hipk3	0.71756043066294
SEL1L2	Sel1l2	1
IZUMO3	Izumo3	1
HAUS2	Haus2	1
PRAMEF12	Gm6509	1
GART	Gart	1
PDYN	Pdyn	1
ZNF555	Zfp933	1
SNRPA	Snrpa	1
ZKSCAN5	Zkscan5	1
OBSCN	Kirrel	1
LMNA	Lmna	0.847411502379441
ZNF74	Zfp937	1
LRRC57	Lrrc57	1
TRAPPC2B	Trappc2	0.445679504645638
ARHGEF16	Arhgef16	1
ATP8B4	Atp8b4	1
TRIM72	Trim72	1
NPL	Npl	0.303749972872019
PCYT1A	Pcyt1a	1
RGS5	Rgs5	1
TGFB2	Tgfb2	1
OFD1	Ofd1	1
RAB11FIP2	Rab11fip2	1
CHST1	Chst1	1
TMPRSS11GP	Tmprss11g	1
RFX5	Rfx5	1
SNAPIN	Snapin	1
SLAMF7	Slamf7	1
COL12A1	Col12a1	1
PRDM15	Prdm15	1
STK35	Stk35	1
RAPGEF3	Rapgef3	1
SMYD3	Smyd3	1
MRPL39	Mrpl39	1
ANKRD22	Ankrd22	1
RSBN1	Rsbn1l	1
MACROD2	Macrod2	0.292683940327373
MSH4	Msh4	1
C19orf54	BC024978	1
B4GALT2	B4galt2	0.649591808088503
SEMA4G	Sema4g	1
GRIN2A	Grin2c	1
NBEA	Nbea	0.845331483013617
MIP	Mip	1
CRYBA2	Cryba2	1
CENPC	Cenpc1	1
CD81	Cd81	1
CDH18	Cdh18	1
POLR2B	Polr3b	1
RERE	Rere	0.615977003779596
TGM6	Tgm3	0.746434721255369
SUFU	Sufu	1
GORASP2	Gorasp2	1
EEF2K	Eef2k	1
SNX14	Snx14	1
PDZRN3	Pdzrn3	1
DIP2B	Dip2b	0.712379274135087
RRP15	Rrp15	1
PSMC5	Psmc5	1
PDE3B	Pde3b	0.724933155252438
RAB6A	Rab6a	0.859447682866332
CD48	Cd48	1
FDXR	Fdxr	1
MME	Mme	0.783073425530247
IQCF6	Iqcf6	1
GALNT4	Galnt4	1
TFB2M	Tfb2m	1
SPDYA	Spdya	1
DAW1	Daw1	1
TMEM80	Tmem80	1
CHKB	Chkb	0.596715088041075
DDX3X	Ddx3x	1
SLAMF1	Slamf1	1
TMEM208	Tmem208	1
PRR27	Prr27	1
STRBP	Strbp	0.844024874408637
MFSD9	Mfsd9	1
CELF5	Celf5	1
SMARCD2	Smarcd2	0.885427542516714
LARP7	Gm12666	1
NAP1L2	Nap1l2	0.810044746950138
FADS6	Fads6	1
SPTAN1	Sptan1	1
SLC10A3	Slc10a3	1
STK16	Stk16	1
IFNAR2	Ifnar2	1
HMGCR	Hmgcr	1
AIRE	Aire	1
NINJ2	Ninj2	1
GLB1L	Glb1l	1
GPR19	Gpr19	1
ETS2	Ets2	1
C12orf40	CN725425	1
SH3GL2	Sh3gl2	0.849551738980566
S100A7A	9130204L05Rik	0.610446216750941
EMC3	Emc3	1
OR14L1P	Olfr113	1
GRAP	Grap	0.845696044867269
ALOX5	Alox5	1
CSF1	Csf1	1
STMN4	Stmn4	1
PACSIN3	Pacsin3	1
ASCL1	Ascl1	1
CEBPG	Cebpg	1
KCNE4	Kcne4	1
HIPK1	Hipk1	0.731521308280553
ARR3	Arr3	1
SLC4A4	Slc4a4	1
TMEM163	Tmem163	1
DET1	Det1	1
HSPB1	Hspb1	1
POLDIP2	Poldip2	1
WDR77	Wdr77	1
RCAN3	Rcan3	1
TSHZ2	Tshz2	0.561876573420603
UBE2O	Ube2o	1
PADI2	Padi2	0.358842353921571
DCX	Dcx	0.561248001547059
SNTA1	Snta1	1
ACIN1	Acin1	1
TMEM127	Tmem127	1
RABGAP1	Gpr21	1
ZNF217	Zfp217	1
MGAT5	Mgat5	1
HSF4	Hsf4	1
TMCO1	Tmco1	1
CRLS1	Crls1	1
UTP14A	Utp14a	0.865927867134236
NAIF1	Naif1	1
STARD7	Stard7	1
CNPY3	Cnpy3	0.782801784641187
DES	Des	1
CNTROB	Cntrob	1
CPT1B	Cpt1b	0.836093294902605
CEMIP	Cemip	1
ZBTB34	Zbtb34	1
FAM83G	Fam83g	1
GPX7	Gpx7	1
C1QTNF9	C1qtnf9	0.960460321785993
GC	Gc	1
DOK2	Dok2	1
CD86	Cd86	1
TMPRSS11F	Tmprss11f	1
FOXO4	Foxo4	1
RPL29	Rpl29	1
NUDT12	Nudt12	1
HSD3B7	Hsd3b7	1
RUNX1T1	Runx1t1	1
ZDHHC15	Zdhhc15	1
SCN1B	Scn1b	1
CEP89	Cep89	1
MRPS9	Mrps9	1
VANGL1	Vangl1	0.673744216328181
PTCRA	Ptcra	1
C1orf68	2310050C09Rik	1
FHOD1	Fhod1	1
TREML4	Treml4	1
TRHDE	Trhde	1
VWF	Vwf	0.782976780056909
PARS2	Pars2	1
SIRT3	Sirt3	0.662505512487659
CHFR	Chfr	1
CAND1	Cand1	0.928045360524456
G6PC	G6pc	1
OR10AD1	Olfr288	1
RAD23A	Rad23a	1
COPS6	Cops6	1
ANP32E	Anp32e	1
ATF6B	Atf6b	1
CECR2	Cecr2	1
RNF25	Rnf25	1
BCAS1	Bcas1	1
ANKZF1	Ankzf1	1
IL10RB	Gm21970	1
MAGEB1	Mageb4	1
TATDN2	Tatdn2	0.758328303442148
PIP5KL1	Pip5kl1	1
SMR3B	Smr3a	0.122517078246593
CCNE1	Ccne1	1
BGLAP	Bglap3	1
OVGP1	Ovgp1	1
C19orf12	1600014C10Rik	1
LRRD1	Lrrc8b	0.647535052867721
RASGRP4	Rasgrp4	1
GUCA1B	Guca1b	1
SFXN4	Sfxn4	1
TAF6	Taf6	1
FGD6	Fgd6	1
FBXL3	Fbxl3	1
BCS1L	Bcs1l	1
PDCD2L	Pdcd2l	1
DPM2	Dpm2	1
KCNJ12	Kcnj12	0.820965610132054
RNF183	Rnf183	1
CSN3	Csn3	1
TNFAIP8	Tnfaip8	0.74147995178582
AANAT	Aanat	1
C1orf105	4930558K02Rik	1
LRRN4	Lrrn4	1
PSMD13	Psmd13	1
CREM	Crem	1
OGFOD1	Ogfod1	1
ZNF384	Zfp384	1
PIGC	Pigc	1
PDAP1	Pdap1	1
TMPRSS3	Tmprss3	1
GADD45GIP1	Gadd45gip1	1
RTN4	Rtn4	1
TINAGL1	Tinagl1	0.881925064458356
TEX10	Tex10	1
DNAH9	Dnah9	0.65113908062334
SLC11A1	Slc11a1	0.8213022563387
LYG2	Lyg2	1
HS6ST2	Hs6st2	1
GZMH	Gzmb	1
ZBTB43	Zbtb43	1
DNM3	Dnm3	0.772232312043349
CABS1	Cabs1	1
PRPH2	Prph2	1
INVS	Invs	1
MRPL9	Mrpl9	1
RTEL1	Rtel1	0.619565296429939
ELMOD3	Elmod3	1
KRT7	Krt7	1
ARPC1B	Arpc1b	0.930472802562522
EXOSC4	Exosc4	1
CCDC102A	Ccdc102a	1
DNAJC28	Dnajc28	1
CAMK1	Camk1	0.730090526225371
